date1,datetime,cash_type,card,money,coffee_name
March,March  7:29:17 PM,card,ANON-0000-0000-0024,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
March,March  7:45:17 PM,card,ANON-0000-0000-0003,28.9,Cortado
March,March  7:45:17 PM,card,ANON-0000-0000-0003,33.8,Americano with Milk
March,March  7:45:17 PM,card,ANON-0000-0000-0082,33.8,Americano with Milk
March,March  7:29:17 PM,card,ANON-0000-0000-0083,38.7,Hot Chocolate
March,March  7:29:17 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
March,March  8:34:17 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  8:34:17 PM,card,ANON-0000-0000-0084,28.9,Cortado
March,March  8:34:17 PM,cash,,40,Latte
March,March  8:34:17 PM,card,ANON-0000-0000-0085,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  3:39:48 PM,card,ANON-0000-0000-0086,38.7,Latte
March,March  4:19:03 PM,card,ANON-0000-0000-0087,38.7,Latte
March,March  6:39:04 PM,card,ANON-0000-0000-0088,38.7,Cappuccino
March,March  7:22:02 PM,card,ANON-0000-0000-0088,38.7,Cappuccino
March,March  7:23:16 PM,cash,,40,Cappuccino
March,March  7:29:17 PM,card,ANON-0000-0000-0069,38.7,Latte
March,March  7:45:17 PM,cash,,40,Cappuccino
March,March  7:45:17 PM,card,ANON-0000-0000-0017,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0009,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
March,March  7:29:17 PM,card,ANON-0000-0000-0089,38.7,Cappuccino
March,March  7:29:17 PM,cash,,30,Americano
April,April  1:48:15 PM,card,ANON-0000-0000-0004,28.9,Americano
April,April  3:39:48 PM,card,ANON-0000-0000-0004,33.8,Americano with Milk
April,April  4:19:03 PM,card,ANON-0000-0000-0004,33.8,Americano with Milk
April,April  6:39:04 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
April,April  7:22:02 PM,cash,,40,Cappuccino
April,April  7:23:16 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0090,38.7,Hot Chocolate
April,April  10:15:51 AM,card,ANON-0000-0000-0001,38.7,Latte
April,April  12:19:23 PM,card,ANON-0000-0000-0003,28.9,Americano
April,April  12:20:18 PM,card,ANON-0000-0000-0003,28.9,Cortado
April,April  1:46:33 PM,cash,,40,Cappuccino
April,April  1:48:15 PM,card,ANON-0000-0000-0003,28.9,Cortado
April,April  3:39:48 PM,card,ANON-0000-0000-0003,28.9,Americano
April,April  4:19:03 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
April,April  6:39:04 PM,cash,,30,Cortado
April,April  7:22:02 PM,card,ANON-0000-0000-0091,38.7,Latte
April,April  7:23:16 PM,card,ANON-0000-0000-0092,38.7,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0093,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0094,28.9,Cortado
April,April  7:45:17 PM,cash,,40,Latte
April,April  7:45:17 PM,card,ANON-0000-0000-0095,28.9,Americano
